ID;PNAME;url;lead;description;pkey;pcounter;assignetype;avatar;originalkey;projecttype
14401;0318 Neue Produkte Leben 2020/2021 (Projekt beendet);;b000942;;NPL2020;2542;3;10324;NPL2020;software
14402;0320 Neue Produkte SHUK 2020 (Projekt beendet);;b000942;;NPS2020;1089;3;10324;NPS2020;software
14403;0342 DUBI Stufe 3 (Projekt beendet);;b001411;;DUBIS3;6;3;10324;DUBIS3;software
14404;0325 SAP S4-HANA Conversion (Projekt beendet);;b000950;;SAPS4HC;92;3;10324;SAPS4HC;software
14405;0328 Refresh nuernberger.de (Projekt beendet);;b002292;;REF2020;1395;2;10324;REF2020;software
14406;0337 Arbeitgeber-Verwaltungsportale Stufe 2 (Projekt beendet);;b001652;;AVP2020;39;2;10207;AVP2020;software
14407;0350 BIPRO-Bestandsprozesse (non-TAA);;b000424;;BBP2020;160;3;10324;BBP2020;software
14408;0381 OPEX (Projekt beendet);;b001090;;OUST;211;3;10324;OUST;software
14409;0324 Makler-CRM (=VertriebsCockpit) - Ausbaustufe 2 (Projekt beendet);;b000424;;VCS2;270;3;10324;VCS2;software
14410;0326 Vertriebsportal (Projekt beendet);;b000424;;RVP2020;64;3;10324;RVP2020;software
14411;0331 Controlling Vergütungsbegrenzung (Projekt beendet);;b002324;;CVB;13;2;10324;CVB;software
14412;0332 Ablösung NÜRNBERGER Portal (SPICE) (Projekt beendet);;b000424;;ANP2020;118;3;10324;ANP2020;software
14413;0338 BOSS-Leistung Konsolidierung und Effizienzsteigerung (Projekt beendet);;b001411;;BLKES;7;3;10324;BLKES;software
14414;0386 Robotics;;b003069;;ROBO20;3126;2;18400;ROBO20;software
14417;0335 Anbindung msg.LifeGroup (Projekt beendet);;b001652;;AKBF;1;2;16604;AKBF;software
14418;0334 Optimierung Prozesse Neue Zulagenverwaltung;;b001618;;OPNZV;2079;3;10324;OPNZV;software
14419;0344 Nacharbeiten LF (NaLF) (Projekt beendet);;b001661;;NALF;0;3;10324;NALF;software
14500;0354 Celonis 2.0 (Projekt beendet);;b001671;;CELON2;14;3;10324;CELON2;software
14501;0322 PROMT 2.0 (Projekt beendet);;b000902;;PROMT20;1361;3;10324;PROMT20;software
14600;0388 Doppelte Abschlusskosten Riester (Projekt beendet);;b000124;;RIES2ABK;25;3;10324;RIES2ABK;software
14601;Cloud;;b000990;Definition of Done: - Aufgabe umgesetzt - Tests geschrieben und erfolgreich - Pull-Request erstellt und abgenommen - Merge in Develop  Storypoints sind wie folgt definiert: -  1: wenig Aufwand -> weniger als 1 Tag -  3: mittlerer Aufwand -> 1-2 Tage -  8: viel Aufwand -> mehr als 3 Tage;CLOUD;467;3;16728;CLOUD;software
14700;Anforderungsmanagement Leben;;b003069;;AML;1092;2;10324;AML;software
14800;0392 Kundenservice Corona (Projekt beendet);;b001632;;BAVUNTSZ;92;3;10324;BAVUNTSZ;software
14900;Testdatenmanagement;;b003069;;TDM;67;3;10202;TDM;software
15000;0423 E-Akte 2020 (Projekt beendet);;b000895;;EAKTE;43;3;10324;EAKTE;software
15001;0425 PoC Neue Bestandsführung Kranken (Projekt beendet);;b002224;;POCNBK;2;3;10324;POCNBK;software
15002;0399 Private Produktwelt SHU (Projekt beendet);;b002179;;PPSHU;529;3;10324;PPSHU;software
15003;0430 NAU-Vertriebsgesellschaft (Projekt beendet);;b002182;;NAUVG;17;3;10324;NAUVG;software
15004;IDVnachZDV – Pauschalsteuer (Projekt beendet);;b001646;;IDVZDVPS;183;2;10324;IDVZDVPS;software
