source_node_id;soure_node_entity;sink_node_id;sind_node_entity;association_type;sequence
77635;Issue;14624;Version;IssueFixVersion;
77639;Issue;14624;Version;IssueFixVersion;
77641;Issue;13940;Component;IssueComponent;
77642;Issue;15009;Version;IssueFixVersion;
77643;Issue;13940;Component;IssueComponent;
77644;Issue;13940;Component;IssueComponent;
77645;Issue;13940;Component;IssueComponent;
77646;Issue;13940;Component;IssueComponent;
77647;Issue;13940;Component;IssueComponent;
77649;Issue;15802;Version;IssueFixVersion;
77650;Issue;13940;Component;IssueComponent;
77651;Issue;13940;Component;IssueComponent;
77652;Issue;13940;Component;IssueComponent;
77653;Issue;13940;Component;IssueComponent;
77654;Issue;13616;Component;IssueComponent;
77654;Issue;14640;Version;IssueFixVersion;
77654;Issue;14640;Version;IssueVersion;
77655;Issue;13940;Component;IssueComponent;
77656;Issue;13940;Component;IssueComponent;
77657;Issue;13940;Component;IssueComponent;
77659;Issue;13940;Component;IssueComponent;
77660;Issue;13940;Component;IssueComponent;
77662;Issue;13940;Component;IssueComponent;
77663;Issue;13940;Component;IssueComponent;
77665;Issue;13616;Component;IssueComponent;
77665;Issue;14640;Version;IssueFixVersion;
77665;Issue;14640;Version;IssueVersion;
77670;Issue;13616;Component;IssueComponent;
77670;Issue;14640;Version;IssueFixVersion;
77670;Issue;14640;Version;IssueVersion;
77672;Issue;13814;Component;IssueComponent;
77672;Issue;16572;Version;IssueFixVersion;
77678;Issue;12325;Component;IssueComponent;
77680;Issue;11400;Component;IssueComponent;
77680;Issue;13820;Component;IssueComponent;
77680;Issue;13822;Component;IssueComponent;
77682;Issue;14640;Version;IssueFixVersion;
77685;Issue;14524;Component;IssueComponent;
77685;Issue;15529;Version;IssueFixVersion;
77685;Issue;15530;Version;IssueVersion;
77690;Issue;13819;Component;IssueComponent;
77690;Issue;13820;Component;IssueComponent;
77692;Issue;12521;Component;IssueComponent;
77692;Issue;15407;Version;IssueVersion;
77694;Issue;14321;Component;IssueComponent;
77694;Issue;15407;Version;IssueVersion;
77694;Issue;15418;Version;IssueFixVersion;
77697;Issue;14321;Component;IssueComponent;
77697;Issue;15407;Version;IssueVersion;
77697;Issue;15626;Version;IssueFixVersion;
77698;Issue;15510;Version;IssueFixVersion;
77699;Issue;14538;Component;IssueComponent;
77699;Issue;16433;Version;IssueFixVersion;
77699;Issue;17531;Version;IssueFixVersion;
77703;Issue;12901;Component;IssueComponent;
77703;Issue;15407;Version;IssueVersion;
77708;Issue;13813;Component;IssueComponent;
77708;Issue;13821;Component;IssueComponent;
77708;Issue;15515;Version;IssueVersion;
77708;Issue;15604;Version;IssueFixVersion;
77709;Issue;12514;Component;IssueComponent;
77709;Issue;15407;Version;IssueVersion;
77709;Issue;15626;Version;IssueFixVersion;
77710;Issue;12234;Component;IssueComponent;
77711;Issue;12442;Component;IssueComponent;
77711;Issue;12512;Component;IssueComponent;
77711;Issue;14321;Component;IssueComponent;
77711;Issue;15407;Version;IssueVersion;
77711;Issue;15607;Version;IssueFixVersion;
77711;Issue;15624;Version;IssueFixVersion;
77712;Issue;13813;Component;IssueComponent;
77712;Issue;13821;Component;IssueComponent;
77712;Issue;15515;Version;IssueVersion;
77715;Issue;12511;Component;IssueComponent;
77715;Issue;13828;Component;IssueComponent;
77715;Issue;14513;Component;IssueComponent;
77715;Issue;15407;Version;IssueVersion;
77715;Issue;15567;Version;IssueFixVersion;
77720;Issue;12384;Component;IssueComponent;
77721;Issue;12357;Component;IssueComponent;
77721;Issue;12362;Component;IssueComponent;
77721;Issue;14726;Version;IssueFixVersion;
77721;Issue;14726;Version;IssueVersion;
77722;Issue;17011;Component;IssueComponent;
77722;Issue;17014;Component;IssueComponent;
