id;issue;customfield;parentkey;stringvalue;numbervalue;textvalue;datevalue;valuetype;updated
29075;15524;10327;;;2000000.0;;;;
29096;15525;10327;;;1000000.0;;;;
29115;15526;10327;;;1000000.0;;;;
29134;15527;10327;;;5000000.0;;;;
29153;15528;10327;;;1000000.0;;;;
29180;15529;10327;;;1000000.0;;;;
29201;15530;10327;;;2000000.0;;;;
29220;15531;10327;;;;;;;
29239;15532;10327;;;;;;;
29258;15533;10327;;;;;;;
29285;15534;10327;;;;;;;
29304;15535;10327;;;;;;;
29328;15536;10327;;;;;;;
29349;15537;10327;;;;;;;
29372;15538;10327;;;;;;;
29397;15539;10327;;;;;;;
29418;15540;10327;;;;;;;
29439;15541;10327;;;;;;;
29458;15542;10327;;;;;;;
29477;15543;10327;;;;;;;
29510;15600;10327;;;;;;;
29532;15601;10327;;;;;;;
29554;15602;10327;;;;;;;
29576;15603;10327;;;;;;;
29596;15604;10327;;;;;;;
29619;15605;10327;;;;;;;
29641;15606;10327;;;;;;;
29663;15607;10327;;;;;;;
29698;15609;10327;;;;;;;
29720;15610;10327;;;;;;;
29742;15611;10327;;;;;;;
29790;15614;10327;;;2000000.0;;;;
29866;15618;10327;;;;;;;
29876;15617;10327;;;2000000.0;;;;
29889;15619;10327;;;;;;;
29909;15620;10327;;;2000000.0;;;;
29929;15621;10327;;;;;;;
29949;15622;10327;;;;;;;
29988;15624;10327;;;;;;;
30008;15625;10327;;;;;;;
30148;15702;10327;;;;;;;
30167;15703;10327;;;;;;;
30186;15704;10327;;;1000000.0;;;;
30207;15705;10327;;;;;;;
30226;15706;10327;;;;;;;
30319;15712;10327;;;;;;;
30338;15713;10327;;;;;;;
30374;15715;10327;;;;;;;
30395;15716;10327;;;;;;;
30416;15717;10327;;;;;;;
30437;15718;10327;;;;;;;
30458;15719;10327;;;;;;;
30471;15417;10327;;;;;;;
30483;15720;10327;;;;;;;
30503;15721;10327;;;;;;;
30523;15722;10327;;;;;;;
30545;15723;10327;;;;;;;
30567;15724;10327;;;;;;;
30589;15725;10327;;;;;;;
30609;15726;10327;;;;;;;
30629;15727;10327;;;;;;;
30649;15728;10327;;;;;;;
30669;15729;10327;;;;;;;
30689;15730;10327;;;;;;;
30721;15731;10327;;;;;;;
30743;15732;10327;;;;;;;
30765;15733;10327;;;;;;;
30787;15734;10327;;;;;;;
30807;15735;10327;;;;;;;
30827;15736;10327;;;;;;;
30847;15737;10327;;;;;;;
30867;15738;10327;;;;;;;
30887;15739;10327;;;;;;;
30919;15740;10327;;;;;;;
30941;15741;10327;;;;;;;
30961;15742;10327;;;;;;;
30981;15743;10327;;;;;;;
31001;15744;10327;;;;;;;
31021;15745;10327;;;;;;;
31060;15746;10327;;;;;;;
31073;15747;10327;;;;;;;
31092;15748;10327;;;;;;;
31111;15749;10327;;;;;;;
31188;15754;10327;;;;;;;
31209;15755;10327;;;;;;;
31249;15757;10327;;;;;;;
31270;15758;10327;;;;;;;
31291;15759;10327;;;;;;;
31312;15760;10327;;;;;;;
31331;15761;10327;;;;;;;
31381;15764;10327;;;;;;;
31448;15768;10327;;;;;;;
31471;15769;10327;;;;;;;
31492;15770;10327;;;;;;;
31515;15771;10327;;;;;;;
31536;15772;10327;;;;;;;
31555;15773;10327;;;;;;;
31574;15774;10327;;;;;;;
31599;15775;10327;;;;;;;
31620;15776;10327;;;;;;;
31641;15777;10327;;;;;;;
31662;15778;10327;;;;;;;
31681;15779;10327;;;;;;;
31700;15780;10327;;;;;;;
31907;15795;10327;;;;;;;
31945;15797;10327;;;;;;;
31967;15798;10327;;;5000000.0;;;;
31989;15799;10327;;;;;;;
32011;15800;10327;;;;;;;
32031;15801;10327;;;;;;;
32055;15802;10327;;;3000000.0;;;;
32077;15803;10327;;;3000000.0;;;;
32097;15804;10327;;;5000000.0;;;;
32121;15805;10327;;;3000000.0;;;;
32143;15806;10327;;;2000000.0;;;;
32172;15807;10327;;;;;;;
32223;15810;10327;;;;;;;
32244;15811;10327;;;;;;;
32264;15812;10327;;;;;;;
32297;15814;10327;;;;;;;
32317;15815;10327;;;;;;;
32337;15816;10327;;;1000000.0;;;;
32357;15817;10327;;;;;;;
32377;15818;10327;;;;;;;
32406;15819;10327;;;;;;;
32426;15820;10327;;;;;;;
32446;15821;10327;;;;;;;
32466;15822;10327;;;;;;;
32486;15823;10327;;;;;;;
32506;15824;10327;;;;;;;
32528;15825;10327;;;;;;;
32550;15826;10327;;;;;;;
32571;15827;10327;;;;;;;
32592;15828;10327;;;;;;;
32648;15829;10327;;;;;;;
32680;15830;10327;;;;;;;
32890;15846;10327;;;;;;;
32929;15848;10327;;;;;;;
32949;15849;10327;;;;;;;
32968;15850;10327;;;;;;;
32987;15851;10327;;;;;;;
33006;15852;10327;;;;;;;
33054;15855;10327;;;;;;;
33063;15474;10327;;;;;;;
33076;15856;10327;;;;;;;
33095;15857;10327;;;;;;;
33136;15859;10327;;;;;;;
33155;15860;10327;;;;;;;
33174;15861;10327;;;3000000.0;;;;
33183;15858;10327;;;;;;;
33194;15862;10327;;;;;;;
33215;15863;10327;;;;;;;
33234;15864;10327;;;;;;;
33253;15865;10327;;;;;;;
33272;15866;10327;;;;;;;
33291;15867;10327;;;5000000.0;;;;
33310;15868;10327;;;;;;;
33329;15869;10327;;;;;;;
33361;15871;10327;;;;;;;
33405;15873;10327;;;;;;;
33426;15874;10327;;;;;;;
33445;15875;10327;;;;;;;
33465;15876;10327;;;2000000.0;;;;
33484;15877;10327;;;;;;;
33504;15878;10327;;;;;;;
33523;15879;10327;;;;;;;
33542;15880;10327;;;;;;;
33561;15881;10327;;;;;;;
33580;15882;10327;;;;;;;
33600;15883;10327;;;;;;;
33619;15884;10327;;;;;;;
33639;15885;10327;;;;;;;
33658;15886;10327;;;;;;;
33697;15888;10327;;;;;;;
33729;15890;10327;;;;;;;
33790;15894;10327;;;;;;;
33811;15895;10327;;;;;;;
33834;15896;10327;;;;;;;
33856;15897;10327;;;;;;;
33878;15898;10327;;;;;;;
33900;15899;10327;;;;;;;
33922;15900;10327;;;;;;;
33944;15901;10327;;;;;;;
33966;15902;10327;;;;;;;
33988;15903;10327;;;;;;;
34010;15904;10327;;;;;;;
34030;15905;10327;;;;;;;
34050;15906;10327;;;;;;;
34076;15907;10327;;;;;;;
34096;15908;10327;;;;;;;
34120;15909;10327;;;;;;;
34142;15910;10327;;;;;;;
34164;15911;10327;;;;;;;
34184;15912;10327;;;;;;;
34209;15913;10327;;;;;;;
34231;15914;10327;;;;;;;
34251;15915;10327;;;;;;;
34279;15916;10327;;;;;;;
34301;15917;10327;;;;;;;
34323;15918;10327;;;;;;;
34345;15919;10327;;;;;;;
34367;15920;10327;;;;;;;
34389;15921;10327;;;;;;;
34411;15922;10327;;;;;;;
34433;15923;10327;;;;;;;
34468;15925;10327;;;;;;;
34488;15926;10327;;;;;;;
34512;15927;10327;;;;;;;
34532;15928;10327;;;;;;;
34556;15929;10327;;;;;;;
34577;15930;10327;;;;;;;
34598;15931;10327;;;;;;;
34622;15932;10327;;;;;;;
34643;15933;10327;;;;;;;
34671;15934;10327;;;;;;;
34706;15936;10327;;;;;;;
34726;15937;10327;;;;;;;
34758;15938;10327;;;;;;;
34777;15939;10327;;;;;;;
34803;15940;10327;;;;;;;
34824;15941;10327;;;;;;;
34845;15942;10327;;;;;;;
34864;15943;10327;;;;;;;
34905;15945;10327;;;;;;;
34926;15946;10327;;;;;;;
34947;15947;10327;;;;;;;
34968;15948;10327;;;;;;;
34989;15949;10327;;;;;;;
35010;15950;10327;;;;;;;
35057;15952;10327;;;;;;;
35105;15954;10327;;;;;;;
35125;15955;10327;;;;;;;
35146;15956;10327;;;;;;;
35179;15958;10327;;;;;;;
35198;15959;10327;;;;;;;
35218;15960;10327;;;;;;;
35238;15961;10327;;;;;;;
35258;15962;10327;;;;;;;
35278;15963;10327;;;;;;;
35297;15964;10327;;;;;;;
35318;15965;10327;;;;;;;
35356;15967;10327;;;;;;;
35375;15968;10327;;;;;;;
35394;15969;10327;;;;;;;
35427;15971;10327;;;;;;;
35448;15972;10327;;;;;;;
35469;15973;10327;;;;;;;
35491;15974;10327;;;;;;;
35513;15975;10327;;;;;;;
35537;15976;10327;;;;;;;
35559;15977;10327;;;;;;;
35584;15978;10327;;;;;;;
35620;15980;10327;;;;;;;
35639;15981;10327;;;;;;;
35658;15982;10327;;;;;;;
35685;15983;10327;;;;;;;
35706;15984;10327;;;;;;;
35725;15985;10327;;;;;;;
35744;15986;10327;;;;;;;
35803;15989;10327;;;;;;;
35824;15990;10327;;;;;;;
35843;15991;10327;;;;;;;
